shutter_time,counts
0.00279447,29
0.0028056,37
0.00281673,35
0.00282787,32
0.002839,30
0.00285013,41
0.00286127,49
0.0028724,33
0.00288353,37
0.00289467,38
0.0029058,48
0.00291693,36
0.00292807,31
0.0029392,39
0.00295033,38
0.00296147,41
0.0029726,33
0.00298373,40
0.00299487,41
0.003006,39
0.00301713,37
0.00302827,43
0.0030394,37
0.00305053,39
0.00306167,26
0.0030728,34
0.00308393,39
0.00309507,50
0.0031062,31
0.00311733,33
0.00312847,29
0.0031396,49
0.00315073,35
0.00316187,30
0.003173,44
0.00318413,32
0.00319527,42
0.0032064,37
0.00321753,33
0.00322867,35
0.0032398,28
0.00325093,50
0.00326207,44
0.0032732,30
0.00328433,48
0.00329547,38
0.0033066,33
0.00331773,39
0.00332887,36
0.00334,38
0.00335113,48
0.00336227,37
0.0033734,46
0.00338453,47
0.00339567,39
0.0034068,48
0.00341793,27
0.00342907,28
0.0034402,40
0.00345133,38
0.00346247,35
0.0034736,47
0.00348473,41
0.00349587,32
0.003507,45
0.00351813,30
0.00352927,45
0.0035404,52
0.00355153,40
0.00356267,43
0.0035738,45
0.00358493,36
0.00359607,37
0.0036072,39
0.00361833,31
0.00362947,36
0.0036406,22
0.00365173,44
0.00366287,41
0.003674,40
0.00368513,40
0.00369627,28
0.0037074,35
0.00371853,37
0.00372967,34
0.0037408,44
0.00375193,34
0.00376307,34
0.0037742,34
0.00378533,36
0.00379647,30
0.0038076,47
0.00381873,34
0.00382987,31
0.003841,38
0.00385213,40
0.00386327,29
0.0038744,34
0.00388553,38
0.00389667,38
0.0039078,42
0.00391893,25
0.00393007,32
0.0039412,39
0.00395233,47
0.00396347,31
0.0039746,22
0.00398573,47
0.00399687,48
0.004008,35
0.00401913,35
0.00403027,39
0.0040414,32
0.00405253,35
0.00406367,42
0.0040748,37
0.00408593,41
0.00409707,34
0.0041082,37
0.00411933,37
0.00413047,25
0.0041416,44
0.00415273,35
0.00416387,19
0.004175,36
0.00418613,35
0.00419727,39
0.0042084,32
0.00421953,38
0.00423067,38
0.0042418,30
0.00425293,38
0.00426407,31
0.0042752,33
0.00428633,46
0.00429747,55
0.0043086,37
0.00431973,40
0.00433087,42
0.004342,57
0.00435313,37
0.00436427,36
0.0043754,31
0.00438653,30
0.00439767,37
0.0044088,38
0.00441993,47
0.00443107,33
0.0044422,35
0.00445333,32
0.00446447,41
0.0044756,36
0.00448673,27
0.00449787,33
0.004509,37
0.00452013,27
0.00453127,46
0.0045424,37
0.00455353,45
0.00456467,41
0.0045758,39
0.00458693,53
0.00459807,43
0.0046092,32
0.00462033,27
0.00463147,37
0.0046426,48
0.00465373,41
0.00466487,35
0.004676,40
0.00468713,45
0.00469827,28
0.0047094,43
0.00472053,34
0.00473167,43
0.0047428,35
0.00475393,41
0.00476507,38
0.0047762,28
0.00478733,43
0.00479847,31
0.0048096,41
0.00482073,36
0.00483187,38
0.004843,40
0.00485413,42
0.00486527,38
0.0048764,31
0.00488753,52
0.00489867,46
0.0049098,21
0.00492093,28
0.00493207,42
0.0049432,30
0.00495433,46
0.00496547,26
0.0049766,39
0.00498773,33
0.00499887,31
0.00501,39
0.00502113,60
0.00503227,35
0.0050434,35
0.00505453,41
0.00506567,35
0.0050768,29
0.00508793,33
0.00509907,34
0.0051102,35
0.00512133,31
0.00513247,35
0.0051436,36
0.00515473,38
0.00516587,34
0.005177,37
0.00518813,33
0.00519927,38
0.0052104,44
0.00522153,24
0.00523267,39
0.0052438,38
0.00525493,28
0.00526607,31
0.0052772,32
0.00528833,37
0.00529947,41
0.0053106,38
0.00532173,42
0.00533287,44
0.005344,48
0.00535513,32
0.00536627,32
0.0053774,31
0.00538853,34
0.00539967,40
0.0054108,30
0.00542193,38
0.00543307,34
0.0054442,44
0.00545533,39
0.00546647,44
0.0054776,33
0.00548873,25
0.00549987,41
0.005511,40
0.00552213,42
0.00553327,51
0.0055444,33
0.00555553,37
0.00556667,39
0.0055778,35
0.00558893,32
0.00560007,39
0.0056112,47
0.00562233,36
0.00563347,30
0.0056446,26
0.00565573,32
0.00566687,39
0.005678,41
0.00568913,35
0.00570027,33
0.0057114,34
0.00572253,44
0.00573367,41
0.0057448,44
0.00575593,55
0.00576707,38
0.0057782,38
0.00578933,38
0.00580047,27
0.0058116,30
0.00582273,28
0.00583387,29
0.005845,31
0.00585613,30
0.00586727,36
0.0058784,36
0.00588953,27
0.00590067,38
0.0059118,36
0.00592293,28
0.00593407,33
0.0059452,35
0.00595633,25
0.00596747,43
0.0059786,41
0.00598973,33
0.00600087,37
0.006012,37
0.00602313,38
0.00603427,37
0.0060454,41
0.00605653,32
0.00606767,40
0.0060788,39
0.00608993,30
0.00610107,34
0.0061122,28
0.00612333,34
0.00613447,32
0.0061456,38
